city_id,city_name,dates,wind_gust,wind_speed,wind_direction
116,Hamburg,2023-02-20,74.5,36.9,258.3
116,Hamburg,2023-02-21,43.9,27.4,285.3
116,Hamburg,2023-02-22,30.6,22.3,128.4
116,Hamburg,2023-02-23,33.1,24.6,281.2
116,Hamburg,2023-02-24,59,30,263.4
116,Hamburg,2023-02-25,46.4,29.9,333.5
116,Hamburg,2023-02-26,30.6,15.3,341.8
116,Hamburg,2023-02-27,17.6,12.3,22.6
116,Hamburg,2023-02-28,11.9,8.4,149
116,Hamburg,2023-03-01,17.3,16.8,350.4
116,Hamburg,2023-03-02,14.8,11.3,39.2
116,Hamburg,2023-03-03,33.8,26.6,272.2
116,Hamburg,2023-03-04,47.2,32.2,301.1
116,Hamburg,2023-03-05,47.2,31.6,290.1
116,Hamburg,2023-03-06,31.7,19.1,235.4
116,Hamburg,2023-03-07,62.6,38.4,255
116,Hamburg,2023-03-08,23.4,14.1,198.2
116,Hamburg,2023-03-09,22,14.1,95.9
116,Hamburg,2023-03-10,41.4,21.9,48.2
116,Hamburg,2023-03-11,40,28.8,281.5
116,Hamburg,2023-03-12,38.5,25.2,185.2
116,Hamburg,2023-03-13,76.7,38,221.1
116,Hamburg,2023-03-14,61.9,39.7,262.7
116,Hamburg,2023-03-15,49.3,29.8,264.2
116,Hamburg,2023-03-16,41,37.3,150.7
116,Hamburg,2023-03-17,30.2,23.7,154.9
116,Hamburg,2023-03-18,28.8,20,209.8
116,Hamburg,2023-03-19,33.1,17,256.7
116,Hamburg,2023-03-20,34.9,18.9,255
116,Hamburg,2023-03-21,25.9,19.5,202.6
116,Hamburg,2023-03-22,47.2,32.7,213.3
116,Hamburg,2023-03-23,49.7,30.3,215.9
116,Hamburg,2023-03-24,58.3,33.7,224.1
116,Hamburg,2023-03-25,50.4,31.7,232.4
116,Hamburg,2023-03-26,40.7,24.2,297.2
116,Hamburg,2023-03-27,58.3,34.6,299.3
116,Hamburg,2023-03-28,36.7,16.6,266.9
116,Hamburg,2023-03-29,28.8,27,195
116,Hamburg,2023-03-30,57.2,27.4,219
116,Hamburg,2023-03-31,33.5,18.2,195.4
116,Hamburg,2023-04-01,46.8,35,72.1
116,Hamburg,2023-04-02,42.1,28.3,57.6
116,Hamburg,2023-04-03,27.7,20.3,59.9
116,Hamburg,2023-04-04,13.7,8.7,51.5
116,Hamburg,2023-04-05,11.9,14.1,313.6
116,Hamburg,2023-04-06,38.5,27.5,126
116,Hamburg,2023-04-07,37.1,24.7,82
116,Hamburg,2023-04-08,23.8,17.3,55.1
116,Hamburg,2023-04-09,21.6,18.1,74.3
116,Hamburg,2023-04-10,43.6,36,146.9
116,Hamburg,2023-04-11,51.1,27.8,235.6
116,Hamburg,2023-04-12,48.2,29.4,147.8
116,Hamburg,2023-04-13,46.1,33.8,192
116,Hamburg,2023-04-14,27.4,18.2,54
116,Hamburg,2023-04-15,36.7,23.8,26.1
116,Hamburg,2023-04-16,28.1,15.1,19.9
116,Hamburg,2023-04-17,37.8,26.8,43.2
116,Hamburg,2023-04-18,36.7,28.1,57.1
116,Hamburg,2023-04-19,55.1,39.3,50.2
116,Hamburg,2023-04-20,44.6,32,56.2
116,Hamburg,2023-04-21,50,29.6,63.5
116,Hamburg,2023-04-22,35.3,27.6,129
116,Hamburg,2023-04-23,32.8,36.4,223.2
116,Hamburg,2023-04-24,59.4,30.5,213.5
116,Hamburg,2023-04-25,53.6,36.4,280.3
116,Hamburg,2023-04-26,43.6,31.8,278
116,Hamburg,2023-04-27,33.5,19.6,273.5
116,Hamburg,2023-04-28,38.5,23.3,98.5
116,Hamburg,2023-04-29,45.4,31.9,316.4
116,Hamburg,2023-04-30,25.9,12.4,316.7
116,Hamburg,2023-05-01,28.8,18,195.3
116,Hamburg,2023-05-02,45,27.8,301.2
116,Hamburg,2023-05-03,22.3,14,315.1
116,Hamburg,2023-05-04,33.1,26.1,76.7
116,Hamburg,2023-05-05,49,32.3,83.1
116,Hamburg,2023-05-06,32.4,27.7,83.2
116,Hamburg,2023-05-07,46.1,27.4,119.5
116,Hamburg,2023-05-08,45,30.5,127.6
116,Hamburg,2023-05-09,49.7,34.5,131.1
116,Hamburg,2023-05-10,33.1,25,151.6
116,Hamburg,2023-05-11,34.2,13.5,9.1
116,Hamburg,2023-05-12,38.2,24.7,56.6
116,Hamburg,2023-05-13,31,18.7,67.3
